games,event,team,pos,medal,as,athlete_id,noc_x,discipline,nationality_x,roles,sex,full_name,used_name,born,died,noc_y,measurements,affiliations,nickpetnames,titles,other_names,nationality_y,original_name,name_order
1900 Summer Olympics,"Doubles, Handicap, Men (Olympic (non-medal))",Spalding de Garmendia,1,,Max Decugis,12,FRA,Tennis,,Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,,Sporting Club de France,,,,,,
1906 Intercalated Games,"Singles, Men (Intercalated)",,1,Gold,Max Decugis,12,FRA,Tennis,,Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,,Sporting Club de France,,,,,,
1906 Intercalated Games,"Doubles, Mixed (Intercalated)",Marie Decugis,1,Gold,Max Decugis,12,FRA,Tennis,,Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,,Sporting Club de France,,,,,,
1906 Intercalated Games,"Doubles, Men (Intercalated)",Maurice Germot,1,Gold,Max Decugis,12,FRA,Tennis,,Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,,Sporting Club de France,,,,,,
1908 Summer Olympics,"Singles, Men (Olympic)",,DNS,,Max Decugis,12,FRA,Tennis,,Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,,Sporting Club de France,,,,,,
1908 Summer Olympics,"Doubles, Men (Olympic)",Maurice Germot,DNS,,Max Decugis,12,FRA,Tennis,,Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,,Sporting Club de France,,,,,,
1912 Summer Olympics,"Doubles, Covered Courts, Mixed (Olympic)",Marie Decugis,DNS,,Max Decugis,12,FRA,Tennis,,Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,,Sporting Club de France,,,,,,
1912 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,DNS,,Max Decugis,12,FRA,Tennis,,Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,,Sporting Club de France,,,,,,
1920 Summer Olympics,"Singles, Men (Olympic)",,=17,,Max Decugis,12,FRA,Tennis,,Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,,Sporting Club de France,,,,,,
1920 Summer Olympics,"Doubles, Mixed (Olympic)",Suzanne Lenglen,1,Gold,Max Decugis,12,FRA,Tennis,,Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,,Sporting Club de France,,,,,,
1920 Summer Olympics,"Doubles, Men (Olympic)",Pierre Albarran,3,Bronze,Max Decugis,12,FRA,Tennis,,Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,,Sporting Club de France,,,,,,
1896 Summer Olympics,"Singles, Men (Olympic)",,=8,,J. Defert,13,FRA,Tennis,,Competed in Olympic Games,Male,J.•Defert,J.•Defert,,,France,,"Racing Club de France, Paris (FRA)",,,,,,
