Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,Hyeon•Jeong-Hwa,Hyeon•Jeong-Hwa,"6 October 1969 in Busan, Busan (KOR)",,Republic of Korea,892,166 cm / 52 kg,,,,Hyun Jung-Hwa,,현•정화,Oriental
Competed in Olympic Games,Female,Jang•Hye-Ok,Jang•Hye-Ok,9 February 1977,,Republic of Korea,893,,Choongnam Provincial Office (KOR),,,Jang Hye-Ock,,장•혜옥,Oriental
Competed in Olympic Games,Female,Kim•Ji-Hyeon,Kim•Ji-Hyeon,1 September 1974,,Republic of Korea,894,169 cm / 60 kg,Pusan Foreign University (KOR) / Samsung Electro-Mechanics Co. (KOR),,,Kim Ji-Hyun,,김•지현,Oriental
Competed in Olympic Games,Female,Kim•Mi-Hyang,Kim•Mi-Hyang,1 October 1973,,Republic of Korea,895,,Korea Tobacco and Ginseng Corporation (KOR),,,Kim Mee-Hyang,,김•미향,Oriental
Competed in Olympic Games,Female,Kim•Sin-Yeong,Kim•Sin-Yeong,10 July 1975,,Republic of Korea,896,,Chunbook Bank (KOR),,,Kim Shin-Young,,김•신영,Oriental
Competed in Olympic Games,Female,Kim•Mu-Gyo,Kim•Mu-Gyo,27 August 1975,,Republic of Korea,897,174 cm / 59 kg,Korea Airline (KOR),,,Kim Moo-Kyo,,김•무교,Oriental
Competed in Olympic Games,Female,Kim•Eun-Ha,Kim•Eun-Ha,8 March 1975 in Kosung (KOR),,Republic of Korea,898,173 cm / 62 kg,,,,,,김•은하,Oriental
Competed in Olympic Games,Female,Kim•Il-Sun,Kim•Il-Sun,24 January 1969,,Republic of Korea,899,172 cm / 60 kg,,,,Kim Il-Soon,,김•일순,Oriental
Competed in Olympic Games,Female,Lee•Heung-Sun,Lee•Heung-Sun,19 November 1971,,Republic of Korea,900,,,,,Lee Heung-Soon,,이•흥순,Oriental
Competed in Olympic Games,Female,Lee•Jeong-Im,Lee•Jeong-Im,1 July 1971,,Republic of Korea,901,,,,,Lee Jung-Im,,이•정임,Oriental
Competed in Olympic Games,Female,Lee•Jeong-Myeong,Lee•Jeong-Myeong,8 September 1967,,Republic of Korea,902,170 cm / 60 kg,,,,Lee Jeong-Myung,,이•정명,Oriental
Competed in Olympic Games,Female,Park•Su-Yeon,Park•Su-Yeon,27 November 1974,,Republic of Korea,903,,Kyunghee University (KOR),,,Park Soo-Yun,,박•수연,Oriental
Competed in Olympic Games,Female,Park•Hae-Jeong,Park•Hae-Jeong,29 July 1972,,Republic of Korea,904,,Jeil Textile Company (KOR),,,Park Hae-Jung,,박•해정,Oriental
Competed in Olympic Games,Female,Park•Gyeong-Ae,Park•Gyeong-Ae,25 August 1971,,Republic of Korea,905,,Korea Airline (KOR),,,Park Kyung-Ae,,박•경애,Oriental
Competed in Olympic Games,Female,Park•Seong-Hui,Park•Seong-Hui,"17 February 1975 in Busan, Busan (KOR)",,Republic of Korea,906,165 cm / 53 kg,"Samsung Securities Co., Ltd (KOR)",,,Park Sung-Hee,,박•성희,Oriental
